date,text,sentiment,mood,clean_text,city,temp,humidity,weather
2009-06-16 18:18:12,@chrishasboobs AHHH I HOPE YOUR OK!!! ,0,sad, ahhh i hope your ok ,Delhi,34.12,51,Clouds
2009-04-06 23:11:14,"@misstoriblack cool , i have no tweet apps  for my razr 2",0,sad, cool  i have no tweet apps  for my razr ,Mumbai,27.72,82,Clouds
2009-06-23 13:40:11,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",0,sad, i know  just family drama its lamehey next time u hang out with kim n u guys like have a sleepover or whatever ill call u,Bangalore,23.83,77,Clouds
2009-06-01 10:26:07,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,0,sad,school email wont open  and i have geography stuff on there to revise stupid school ,Chennai,29.34,81,Clouds
2009-06-20 12:56:51,upper airways problem ,0,sad,upper airways problem ,Kolkata,28.74,81,Clouds
2009-06-06 00:32:16,Going to miss Pastor's sermon on Faith... ,0,sad,going to miss pastors sermon on faith ,Hyderabad,23.13,89,Clouds
2009-05-31 13:10:36,on lunch....dj should come eat with me ,4,happy,on lunchdj should come eat with me ,Pune,24.11,72,Clouds
2009-06-19 16:11:29,@piginthepoke oh why are you feeling like that? ,0,sad, oh why are you feeling like that ,Ahmedabad,31.42,58,Clouds
2009-05-11 22:01:32,gahh noo!peyton needs to live!this is horrible ,0,sad,gahh noopeyton needs to livethis is horrible ,Jaipur,34.37,42,Clouds
2009-05-30 03:39:34,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,4,happy, thank you glad you like it there is a product review bit on the site  enjoy knitting it,Lucknow,29.99,69,Clouds
2009-06-05 23:59:27,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,4,happy, zach makes me pee sitting down and im a grown gay man ,Delhi,34.12,51,Clouds
2009-06-01 08:29:05,to sum up my day in one word ......... kackered! ,4,happy,to sum up my day in one word  kackered ,Mumbai,27.72,82,Clouds
2009-06-07 16:46:29,@k9wkj Great minds think alike ,4,happy, great minds think alike ,Bangalore,23.83,77,Clouds
2009-06-17 03:00:02,Is Poorly and in bed! ,0,sad,is poorly and in bed ,Chennai,29.34,81,Clouds
2009-04-18 14:39:59,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",4,happy, oh thats really great  here we have a small blizzard and also cold wind blows,Kolkata,28.74,81,Clouds
2009-05-18 03:32:38,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",4,happy, lol calm down  i got a day loan offer for only  ,Hyderabad,23.13,89,Clouds
2009-06-16 03:39:22,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",4,happy,im feeling quite sleepy today wish i could stay in bed todaybut ok is my last year so lets go to school ,Pune,24.11,72,Clouds
2009-05-30 12:06:09,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,0,sad, yeah  mathieu totally choked in the rd set to let rog win as well djokovic played terribly  ,Ahmedabad,31.42,58,Clouds
2009-06-02 06:20:35,"ugh, morning's off to a rough start ",0,sad,ugh mornings off to a rough start ,Jaipur,34.37,42,Clouds
