City,Date,Temperature,Humidity,Weather
Delhi,2026-05-31 18:00:00,27.05,61,Rain
Delhi,2026-05-31 21:00:00,26.84,55,Clouds
Delhi,2026-06-01 00:00:00,25.78,52,Clouds
Delhi,2026-06-01 03:00:00,29.88,41,Clouds
Delhi,2026-06-01 06:00:00,32.81,31,Clouds
Delhi,2026-06-01 09:00:00,37.8,23,Clouds
Delhi,2026-06-01 12:00:00,36.84,25,Clouds
Delhi,2026-06-01 15:00:00,34.79,28,Clouds
Delhi,2026-06-01 18:00:00,33.54,29,Clouds
Delhi,2026-06-01 21:00:00,32.76,29,Clouds
Delhi,2026-06-02 00:00:00,31.83,33,Clouds
Delhi,2026-06-02 03:00:00,33.86,30,Clouds
Delhi,2026-06-02 06:00:00,37.8,23,Clear
Delhi,2026-06-02 09:00:00,40.16,19,Clear
Delhi,2026-06-02 12:00:00,40.97,17,Clear
Delhi,2026-06-02 15:00:00,39.11,20,Clear
Delhi,2026-06-02 18:00:00,37.62,23,Clear
Delhi,2026-06-02 21:00:00,36.01,26,Clouds
Delhi,2026-06-03 00:00:00,34.44,29,Clouds
Delhi,2026-06-03 03:00:00,36.3,26,Clear
Delhi,2026-06-03 06:00:00,40.17,20,Clear
Delhi,2026-06-03 09:00:00,42.8,16,Clear
Delhi,2026-06-03 12:00:00,35.8,32,Rain
Delhi,2026-06-03 15:00:00,35.92,28,Rain
Delhi,2026-06-03 18:00:00,34.37,34,Rain
Delhi,2026-06-03 21:00:00,32.55,35,Rain
Delhi,2026-06-04 00:00:00,31.66,41,Clouds
Delhi,2026-06-04 03:00:00,34.85,31,Clear
Delhi,2026-06-04 06:00:00,38.1,27,Clouds
Delhi,2026-06-04 09:00:00,41.3,21,Clouds
Delhi,2026-06-04 12:00:00,41.13,16,Clouds
Delhi,2026-06-04 15:00:00,39.2,20,Clouds
Delhi,2026-06-04 18:00:00,36.26,26,Clouds
Delhi,2026-06-04 21:00:00,34.34,34,Clouds
Delhi,2026-06-05 00:00:00,33.47,33,Clouds
Delhi,2026-06-05 03:00:00,34.8,34,Clouds
Delhi,2026-06-05 06:00:00,40.17,22,Clouds
Delhi,2026-06-05 09:00:00,42.42,17,Clouds
Delhi,2026-06-05 12:00:00,41.37,18,Clouds
Delhi,2026-06-05 15:00:00,39.91,21,Clear
Chandigarh,2026-05-31 18:00:00,25.79,69,Clouds
Chandigarh,2026-05-31 21:00:00,26.03,61,Clouds
Chandigarh,2026-06-01 00:00:00,26.15,50,Clouds
Chandigarh,2026-06-01 03:00:00,27.19,31,Clouds
Chandigarh,2026-06-01 06:00:00,30.05,25,Clouds
Chandigarh,2026-06-01 09:00:00,38.18,20,Clouds
Chandigarh,2026-06-01 12:00:00,37.81,19,Clouds
Chandigarh,2026-06-01 15:00:00,29.76,40,Clouds
Chandigarh,2026-06-01 18:00:00,29.34,41,Clouds
Chandigarh,2026-06-01 21:00:00,27.16,48,Rain
Chandigarh,2026-06-02 00:00:00,27.11,46,Rain
